Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA,Chrome 120.0.0.0,,,29-01-2024 14:43:02,29-01-2024 14:44:22,1m - 20.663s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Service/CURA Heading validation,Chrome 120.0.0.0,,,29-01-2024 14:43:03,29-01-2024 14:43:22,19.455s,PASSED
openBrowser(link),Chrome 120.0.0.0,,,29-01-2024 14:43:05,29-01-2024 14:43:20,14.940s,PASSED
"verifyElementPresent(findTestObject(""cura_healthcare/Cura_name_validation/h1_CURA Healthcare Service""), 0)",Chrome 120.0.0.0,,,29-01-2024 14:43:20,29-01-2024 14:43:22,1.705s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,29-01-2024 14:43:22,29-01-2024 14:43:22,0.822s,PASSED
,,,,,,,
Test Cases/CURA_Login/cura_login,Chrome 120.0.0.0,,,29-01-2024 14:43:23,29-01-2024 14:43:47,24.131s,PASSED
openBrowser(link),Chrome 120.0.0.0,,,29-01-2024 14:43:24,29-01-2024 14:43:36,11.791s,PASSED
"click(findTestObject(""cura_healthcare/Cura_LOGIN/Cura_login/i_CURA Healthcare_fa fa-bars""))",Chrome 120.0.0.0,,,29-01-2024 14:43:36,29-01-2024 14:43:37,1.536s,PASSED
"click(findTestObject(""cura_healthcare/Cura_LOGIN/Cura_login/a_Login""))",Chrome 120.0.0.0,,,29-01-2024 14:43:37,29-01-2024 14:43:40,2.743s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_LOGIN/Cura_login/input_Username""), Name)",Chrome 120.0.0.0,,,29-01-2024 14:43:40,29-01-2024 14:43:42,1.862s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_LOGIN/Cura_login/input_Password""), Password)",Chrome 120.0.0.0,,,29-01-2024 14:43:42,29-01-2024 14:43:44,1.654s,PASSED
"click(findTestObject(""cura_healthcare/Cura_LOGIN/Cura_login/button_Login""))",Chrome 120.0.0.0,,,29-01-2024 14:43:44,29-01-2024 14:43:47,3.385s,PASSED
,,,,,,,
Test Cases/CURA_Makeappointment/appointment booking,Chrome 120.0.0.0,,,29-01-2024 14:43:48,29-01-2024 14:44:22,34.861s,PASSED
"callTestCase(findTestCase(""CURA_Login/cura_login""), [""link"":""https://katalon-demo-cura.herokuapp.com/"", ""Name"":findTestData(""CURA_login_data/login_data"").getValue(1, 1), ""Password"":findTestData(""CURA_login_data/login_data"").getValue(2, 1)], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 14:43:49,29-01-2024 14:44:14,25.026s,PASSED
"selectOptionByValue(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/Dropdown list""), Hospital, false)",Chrome 120.0.0.0,,,29-01-2024 14:44:14,29-01-2024 14:44:15,1.261s,PASSED
"check(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/Readmission""))",Chrome 120.0.0.0,,,29-01-2024 14:44:15,29-01-2024 14:44:16,1.327s,PASSED
"check(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/input_Medicaid_programs""))",Chrome 120.0.0.0,,,29-01-2024 14:44:16,29-01-2024 14:44:17,0.902s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/input_Visit Date (Required)_visit_date""), Set_Date)",Chrome 120.0.0.0,,,29-01-2024 14:44:17,29-01-2024 14:44:19,1.779s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/textarea_Comment_comment""), Comment)",Chrome 120.0.0.0,,,29-01-2024 14:44:19,29-01-2024 14:44:21,1.822s,PASSED
"click(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/button_Book Appointment""))",Chrome 120.0.0.0,,,29-01-2024 14:44:21,29-01-2024 14:44:22,1.669s,PASSED
