Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Appointment_TC,Chrome 120.0.0.0,,,30-01-2024 12:14:39,30-01-2024 12:14:58,18.729s,PASSED
,,,,,,,
Test Cases/CURA_Makeappointment/appointment booking,Chrome 120.0.0.0,,,30-01-2024 12:14:39,30-01-2024 12:14:58,18.506s,PASSED
"callTestCase(findTestCase(""CURA_Login/Login""), [""link"":""https://katalon-demo-cura.herokuapp.com/"", ""Name"":findTestData(""CURA_login_data/login_data"").getValue(1, 1), ""Password"":findTestData(""CURA_login_data/login_data"").getValue(2, 1)], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,30-01-2024 12:14:40,30-01-2024 12:14:52,12.707s,PASSED
"selectOptionByValue(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/Dropdown list""), ""Hongkong CURA Healthcare Center"", false)",Chrome 120.0.0.0,,,30-01-2024 12:14:52,30-01-2024 12:14:53,1.041s,PASSED
"ky_droplist.dropdownvalue.CheckDropDownListElementExist(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"")",Chrome 120.0.0.0,,,30-01-2024 12:14:53,30-01-2024 12:14:54,0.846s,PASSED
"check(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/Readmission""))",Chrome 120.0.0.0,,,30-01-2024 12:14:54,30-01-2024 12:14:55,0.378s,PASSED
"check(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/input_Medicaid_programs""))",Chrome 120.0.0.0,,,30-01-2024 12:14:55,30-01-2024 12:14:55,0.400s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/input_Visit Date (Required)_visit_date""), Set_Date)",Chrome 120.0.0.0,,,30-01-2024 12:14:55,30-01-2024 12:14:56,0.879s,PASSED
"setText(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/textarea_Comment_comment""), Comment)",Chrome 120.0.0.0,,,30-01-2024 12:14:56,30-01-2024 12:14:57,0.918s,PASSED
"click(findTestObject(""cura_healthcare/Cura_booking_appointment/Booking appointment/button_Book Appointment""))",Chrome 120.0.0.0,,,30-01-2024 12:14:57,30-01-2024 12:14:58,0.997s,PASSED
