Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_History-Logout_TS,Chrome 120.0.0.0,,,30-01-2024 12:19:03,30-01-2024 12:19:49,46.384s,PASSED
,,,,,,,
Test Cases/CURA_History/History,Chrome 120.0.0.0,,,30-01-2024 12:19:03,30-01-2024 12:19:26,22.874s,PASSED
"callTestCase(findTestCase(""CURA_Makeappointment/appointment booking""), [""Hospital"":findTestData(""CURA_BookingAppointment/Dropdown_list"").getValue(1, 1), ""Program"":findTestData(""CURA_BookingAppointment/Healthcare_Program"").getValue(1, 1), ... ], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,30-01-2024 12:19:03,30-01-2024 12:19:24,20.166s,PASSED
"click(findTestObject(""cura_healthcare/Cura_History/History/i_CURA Healthcare_fa fa-bars""))",Chrome 120.0.0.0,,,30-01-2024 12:19:24,30-01-2024 12:19:24,0.606s,PASSED
"click(findTestObject(""cura_healthcare/Cura_History/History/a_History""))",Chrome 120.0.0.0,,,30-01-2024 12:19:24,30-01-2024 12:19:25,1.311s,PASSED
"verifyElementPresent(findTestObject(""cura_healthcare/Cura_History/History/h2_History""), 0)",Chrome 120.0.0.0,,,30-01-2024 12:19:25,30-01-2024 12:19:26,0.523s,PASSED
,,,,,,,
Test Cases/CURA_Logout/Logout,Chrome 120.0.0.0,,,30-01-2024 12:19:26,30-01-2024 12:19:49,23.335s,PASSED
"callTestCase(findTestCase(""CURA_History/History""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,30-01-2024 12:19:26,30-01-2024 12:19:47,20.459s,PASSED
"click(findTestObject(""cura_healthcare/Cura_Logout/Logout/i_CURA Healthcare_fa fa-bars""))",Chrome 120.0.0.0,,,30-01-2024 12:19:47,30-01-2024 12:19:47,0.452s,PASSED
"click(findTestObject(""cura_healthcare/Cura_Logout/Logout/a_Logout""))",Chrome 120.0.0.0,,,30-01-2024 12:19:47,30-01-2024 12:19:49,1.573s,PASSED
"verifyElementVisible(findTestObject(""cura_healthcare/Cura_Logout/Logout/div_HOME""))",Chrome 120.0.0.0,,,30-01-2024 12:19:49,30-01-2024 12:19:49,0.515s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 12:19:49,30-01-2024 12:19:49,0.227s,PASSED
