Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_History-Logout_TS,,,,30-01-2024 22:13:04,30-01-2024 22:13:07,2.880s,ERROR
,,,,,,,
Test Cases/CURA_History/History,,,,30-01-2024 22:13:06,30-01-2024 22:13:06,0.178s,ERROR
Start listener action : sampleBeforeTestCase,,,,30-01-2024 22:13:06,30-01-2024 22:13:06,0.047s,ERROR
"callTestCase(findTestCase(""CURA_Makeappointment/appointment booking""), [""Hospital"":findTestData(""CURA_BookingAppointment/Dropdown_list"").getValue(1, 1), ""Program"":findTestData(""CURA_BookingAppointment/Healthcare_Program"").getValue(1, 1), ... ], STOP_ON_FAILURE)",,,,30-01-2024 22:13:06,30-01-2024 22:13:06,0.034s,ERROR
Start listener action : sampleAfterTestCase,,,,30-01-2024 22:13:06,30-01-2024 22:13:06,0.055s,ERROR
,,,,,,,
Test Cases/CURA_Logout/Logout,,,,30-01-2024 22:13:07,30-01-2024 22:13:07,0.207s,ERROR
Start listener action : sampleBeforeTestCase,,,,30-01-2024 22:13:07,30-01-2024 22:13:07,0.043s,ERROR
"callTestCase(findTestCase(""CURA_History/History""), [:], STOP_ON_FAILURE)",,,,30-01-2024 22:13:07,30-01-2024 22:13:07,0.108s,ERROR
Start listener action : sampleAfterTestCase,,,,30-01-2024 22:13:07,30-01-2024 22:13:07,0.037s,ERROR
