Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S,Chrome 121.0.0.0,,,31-01-2024 11:01:01,31-01-2024 11:02:56,1m - 54.756s,PASSED
,,,,,,,
Test Cases/s,Chrome 121.0.0.0,,,31-01-2024 11:01:18,31-01-2024 11:02:56,1m - 37.473s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 11:01:19,31-01-2024 11:01:25,6.016s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 11:01:25,31-01-2024 11:02:01,36.266s,ERROR
"selectOptionByValue(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,31-01-2024 11:02:02,31-01-2024 11:02:04,2.255s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,31-01-2024 11:02:04,31-01-2024 11:02:05,0.817s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,31-01-2024 11:02:05,31-01-2024 11:02:05,0.815s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 121.0.0.0,,,31-01-2024 11:02:05,31-01-2024 11:02:06,0.840s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/input_visit_date""))",Chrome 121.0.0.0,,,31-01-2024 11:02:06,31-01-2024 11:02:07,0.925s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,31-01-2024 11:02:07,31-01-2024 11:02:08,0.962s,PASSED
"setText(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/textarea_comment""), ""fever"")",Chrome 121.0.0.0,,,31-01-2024 11:02:08,31-01-2024 11:02:10,1.462s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,31-01-2024 11:02:10,31-01-2024 11:02:13,3.035s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,31-01-2024 11:02:13,31-01-2024 11:02:13,0.785s,PASSED
"click(findTestObject(""Object Repository/s/Page_CURA Healthcare Service/a_History""))",Chrome 121.0.0.0,,,31-01-2024 11:02:13,31-01-2024 11:02:17,3.044s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 11:02:17,31-01-2024 11:02:19,2.406s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 11:02:19,31-01-2024 11:02:56,36.974s,ERROR
