Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_History-Logout,,,,31-01-2024 22:32:06,31-01-2024 22:32:53,47.677s,FAILED
,,,,,,,
Test Cases/TC_CURA/CURA_History/History,,,,31-01-2024 22:32:27,31-01-2024 22:32:33,5.194s,FAILED
Start listener action : sampleBeforeTestCase,,,,31-01-2024 22:32:27,31-01-2024 22:32:28,0.159s,ERROR
"callTestCase(findTestCase(""TC_CURA/CURA_Makeappointment/appointment booking""), [""Hospital"":Hospital, ""Set_Date"":date, ""Comment"":comment], STOP_ON_FAILURE)",,,,31-01-2024 22:32:28,31-01-2024 22:32:32,4.800s,FAILED
Start listener action : sampleAfterTestCase,,,,31-01-2024 22:32:32,31-01-2024 22:32:33,0.146s,ERROR
,,,,,,,
Test Cases/TC_CURA/CURA_Logout/Logout,,,,31-01-2024 22:32:49,31-01-2024 22:32:53,4.469s,FAILED
Start listener action : sampleBeforeTestCase,,,,31-01-2024 22:32:49,31-01-2024 22:32:49,0.119s,ERROR
"callTestCase(findTestCase(""TC_CURA/CURA_History/History""), [""Hospital"":findTestData(""CURA_BookingAppointment/Dropdown_list"").getValue(1, 1), ""date"":findTestData(""CURA_BookingAppointment/Date_Booking"").getValue(1, 1), ... ], STOP_ON_FAILURE)",,,,31-01-2024 22:32:49,31-01-2024 22:32:53,4.075s,FAILED
Start listener action : sampleAfterTestCase,,,,31-01-2024 22:32:53,31-01-2024 22:32:53,0.201s,ERROR
