Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Login_TS,Chrome 121.0.0.0,,,01-02-2024 18:29:28,01-02-2024 18:30:58,1m - 30.381s,PASSED
,,,,,,,
Test Cases/TC_CURA/CURA_Login/login,Chrome 121.0.0.0,,,01-02-2024 18:29:29,01-02-2024 18:30:58,1m - 29.702s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,01-02-2024 18:29:29,01-02-2024 18:29:30,1.524s,ERROR
"callTestCase(findTestCase(""TC_CURA/CURA_Name_validation/CURA Heading validation""), [""link"":""https://katalon-demo-cura.herokuapp.com/""], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,01-02-2024 18:29:31,01-02-2024 18:29:43,12.214s,PASSED
"click(findTestObject(""cura_healthcare_obj/Cura_LOGIN/login_obj/a_CURA Healthcare_menu-toggle""))",Chrome 121.0.0.0,,,01-02-2024 18:29:43,01-02-2024 18:29:44,1.069s,PASSED
"click(findTestObject(""Object Repository/cura_healthcare_obj/Cura_LOGIN/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 18:29:44,01-02-2024 18:29:46,1.659s,PASSED
"verifyElementClickable(findTestObject(""cura_healthcare_obj/Cura_LOGIN/login_obj/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 18:29:46,01-02-2024 18:29:46,0.610s,PASSED
"setText(findTestObject(""Object Repository/cura_healthcare_obj/Cura_LOGIN/Page_CURA Healthcare Service/input_username""), name)",Chrome 121.0.0.0,,,01-02-2024 18:29:46,01-02-2024 18:29:48,1.386s,PASSED
"setText(findTestObject(""Object Repository/cura_healthcare_obj/Cura_LOGIN/Page_CURA Healthcare Service/input_password""), password)",Chrome 121.0.0.0,,,01-02-2024 18:29:48,01-02-2024 18:29:49,1.367s,PASSED
"click(findTestObject(""Object Repository/cura_healthcare_obj/Cura_LOGIN/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 18:29:49,01-02-2024 18:29:51,2.257s,PASSED
"go = verifyElementClickable(findTestObject(""cura_healthcare_obj/Cura_LOGIN/login_obj/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 18:29:51,01-02-2024 18:30:23,31.763s,PASSED
if (go == true),Chrome 121.0.0.0,,,01-02-2024 18:30:23,01-02-2024 18:30:23,0.073s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,01-02-2024 18:30:23,01-02-2024 18:30:58,35.164s,ERROR
